State,2018 Overall Homeless,2018 Under 18,2018 Age 18 to 24,2018 Over 24,2018 Female,2018 Male,2018 Transgender,2018 NonConforming,2018 NonHispanic_NonLatino,2018 Hispanic_Latino,2018 White,2018 Black or African American,2018 Asian,2018 American Indian or Alaska Native,2018 Native Hawaiian or Other Pacific Islander,2018 Multiple Races,2017 Overall Homeless,2017 Under 18,2017 Age 18 to 24,2017 Over 24,2017 Female,2017 Male,2017 Transgender,2017 NonConforming,2017 NonHispanic_NonLatino,2017 Hispanic_Latino,2017 White,2017 Black or African American,2017 Asian,2017 American Indian or Alaska Native,2017 Native Hawaiian or Other Pacific Islander,2017 Multiple Races,2016 Overall Homeless,"Overall Homeless - Under 18, 2016",2016 Age 18 to 24,2016 Over 24,2016 Female,2016 Male,2016 Transgender,2016 NonHispanic_NonLatino,2016 Hispanic_Latino,2016 White,2016 Black or African American,2016 Asian,2016 American Indian or Alaska Native,2016 Native Hawaiian or Other Pacific Islander,2016 Multiple Races,2015 Overall Homeless,2015 Under 18,2015 Age 18 to 24,2015 Over 24,2015 Female,2015 Male,2015 Transgender,2015 NonHispanic_NonLatino,2015 Hispanic_Latino,2015 White,2015 Black or African American,2015 Asian,2015 American Indian or Alaska Native,2015 Native Hawaiian or Other Pacific Islander,2015 Multiple Races
AK,2016.0,349.0,191.0,1476.0,880.0,1129.0,7.0,0.0,1914.0,102.0,683.0,156.0,39.0,878.0,76.0,184.0,1845.0,305.0,186.0,1354.0,765.0,1075.0,4.0,1.0,1743.0,102.0,641.0,147.0,20.0,770.0,69.0,198.0,1940.0,274.0,173.0,1493.0,808.0,1127.0,5.0,1797.0,143.0,739.0,147.0,44.0,786.0,53.0,171.0,1956.0,411.0,197.0,1348.0,773.0,1181.0,2.0,1862.0,94.0,745.0,144.0,18.0,883.0,62.0,104.0
AL,3434.0,573.0,157.0,2704.0,1399.0,2025.0,9.0,1.0,3340.0,94.0,1664.0,1604.0,6.0,23.0,5.0,132.0,3793.0,528.0,300.0,2965.0,1314.0,2453.0,21.0,5.0,3721.0,72.0,1587.0,2064.0,9.0,21.0,1.0,111.0,4111.0,681.0,304.0,3126.0,1733.0,2366.0,12.0,4027.0,84.0,1714.0,2251.0,4.0,49.0,8.0,85.0,3970.0,716.0,271.0,2983.0,1532.0,2427.0,11.0,3901.0,69.0,1813.0,2090.0,5.0,19.0,1.0,42.0
AR,2712.0,309.0,213.0,2190.0,1113.0,1593.0,5.0,1.0,2632.0,80.0,1647.0,916.0,12.0,36.0,4.0,97.0,2467.0,265.0,209.0,1993.0,965.0,1499.0,3.0,0.0,2405.0,62.0,1447.0,892.0,9.0,24.0,7.0,88.0,2463.0,432.0,197.0,1834.0,1047.0,1415.0,1.0,2377.0,86.0,1451.0,894.0,10.0,21.0,8.0,79.0,2560.0,417.0,243.0,1900.0,978.0,1582.0,0.0,2143.0,417.0,1543.0,903.0,7.0,32.0,29.0,46.0
AZ,9865.0,1680.0,780.0,7405.0,3460.0,6354.0,34.0,17.0,7590.0,2275.0,6494.0,1906.0,53.0,836.0,57.0,519.0,8947.0,1607.0,660.0,6680.0,3331.0,5592.0,22.0,2.0,6876.0,2071.0,6086.0,1611.0,51.0,704.0,46.0,449.0,9707.0,2022.0,733.0,6952.0,3685.0,6005.0,17.0,7342.0,2365.0,6562.0,1792.0,53.0,809.0,67.0,424.0,9896.0,2124.0,824.0,6948.0,3966.0,5916.0,14.0,7516.0,2380.0,6697.0,1761.0,57.0,849.0,57.0,475.0
CA,129972.0,13936.0,12678.0,103358.0,42491.0,85810.0,1252.0,419.0,88525.0,41447.0,72956.0,37770.0,2338.0,5391.0,1552.0,9965.0,131532.0,14207.0,13276.0,104049.0,42750.0,87609.0,793.0,380.0,90040.0,41492.0,68784.0,42282.0,2490.0,5663.0,1459.0,10854.0,118142.0,12828.0,12160.0,93154.0,39175.0,78121.0,846.0,85437.0,32705.0,67669.0,32434.0,1836.0,4179.0,1284.0,10740.0,115738.0,13657.0,11645.0,90436.0,38676.0,76545.0,517.0,84183.0,31555.0,64340.0,32262.0,2146.0,4762.0,1225.0,11003.0
CO,10857.0,1887.0,808.0,8162.0,3880.0,6926.0,28.0,23.0,8020.0,2837.0,7814.0,1566.0,77.0,487.0,94.0,819.0,10940.0,2164.0,913.0,7863.0,4014.0,6866.0,37.0,23.0,8142.0,2798.0,7778.0,1788.0,51.0,546.0,45.0,732.0,10550.0,2327.0,983.0,7240.0,4103.0,6393.0,54.0,7603.0,2947.0,7239.0,1882.0,78.0,527.0,61.0,763.0,9953.0,2528.0,808.0,6617.0,3923.0,6012.0,18.0,7006.0,2947.0,6638.0,1948.0,90.0,477.0,34.0,766.0
CT,3976.0,967.0,254.0,2755.0,1659.0,2310.0,7.0,0.0,2615.0,1361.0,2156.0,1482.0,17.0,92.0,16.0,213.0,3388.0,736.0,259.0,2393.0,1313.0,2054.0,8.0,13.0,2415.0,973.0,1752.0,1343.0,34.0,22.0,43.0,194.0,3902.0,831.0,203.0,2868.0,1458.0,2440.0,4.0,2796.0,1106.0,2095.0,1535.0,32.0,54.0,73.0,113.0,4047.0,827.0,234.0,2986.0,1505.0,2535.0,7.0,2923.0,1124.0,2164.0,1570.0,38.0,50.0,124.0,101.0
DC,6904.0,1933.0,639.0,4332.0,2960.0,3903.0,33.0,8.0,6577.0,327.0,478.0,6286.0,39.0,40.0,15.0,46.0,7473.0,2286.0,682.0,4505.0,3226.0,4209.0,36.0,2.0,6979.0,494.0,481.0,6712.0,40.0,25.0,21.0,194.0,8350.0,2732.0,920.0,4698.0,3802.0,4512.0,36.0,7916.0,434.0,439.0,7689.0,35.0,38.0,16.0,133.0,7298.0,2056.0,736.0,4506.0,3087.0,4198.0,13.0,6914.0,384.0,443.0,6595.0,62.0,28.0,12.0,158.0
DE,1082.0,227.0,78.0,777.0,490.0,591.0,0.0,1.0,1012.0,70.0,406.0,616.0,6.0,12.0,2.0,40.0,994.0,240.0,69.0,685.0,431.0,562.0,1.0,0.0,912.0,82.0,398.0,544.0,4.0,1.0,5.0,42.0,1070.0,196.0,69.0,805.0,411.0,658.0,1.0,1011.0,59.0,406.0,617.0,1.0,1.0,3.0,42.0,953.0,227.0,81.0,645.0,400.0,553.0,0.0,899.0,54.0,369.0,513.0,3.0,11.0,3.0,54.0
FL,31030.0,5871.0,2371.0,22788.0,11092.0,19799.0,74.0,65.0,26694.0,4336.0,17743.0,11809.0,116.0,248.0,113.0,1001.0,32190.0,5624.0,2599.0,23967.0,11311.0,20721.0,78.0,80.0,27442.0,4748.0,18593.0,11954.0,122.0,278.0,109.0,1134.0,33559.0,6140.0,2238.0,25181.0,11789.0,21740.0,30.0,28855.0,4704.0,19369.0,12594.0,116.0,294.0,73.0,1113.0,35900.0,6539.0,2451.0,26910.0,12719.0,23122.0,59.0,30912.0,4988.0,20921.0,13165.0,122.0,376.0,112.0,1204.0
GA,9499.0,1673.0,610.0,7216.0,3742.0,5719.0,33.0,5.0,9200.0,299.0,2804.0,6281.0,22.0,73.0,25.0,294.0,10174.0,1646.0,697.0,7831.0,3878.0,6239.0,53.0,4.0,9752.0,422.0,2805.0,6902.0,37.0,73.0,19.0,338.0,12909.0,2237.0,907.0,9765.0,4507.0,8376.0,26.0,12266.0,643.0,3822.0,8571.0,54.0,64.0,51.0,347.0,13790.0,2500.0,812.0,10478.0,4878.0,8882.0,30.0,13089.0,701.0,4307.0,8955.0,40.0,30.0,51.0,407.0
HI,6530.0,1366.0,370.0,4794.0,2673.0,3827.0,23.0,7.0,5558.0,972.0,1527.0,214.0,579.0,80.0,2250.0,1880.0,7220.0,1575.0,497.0,5148.0,2951.0,4241.0,23.0,5.0,6255.0,965.0,1594.0,255.0,656.0,106.0,2901.0,1708.0,7921.0,1941.0,531.0,5449.0,3243.0,4641.0,37.0,6989.0,932.0,1820.0,269.0,396.0,114.0,3374.0,1948.0,7620.0,1918.0,531.0,5171.0,3174.0,4426.0,20.0,6679.0,941.0,1852.0,263.0,477.0,95.0,2978.0,1955.0
IA,2749.0,684.0,282.0,1783.0,1136.0,1606.0,6.0,1.0,2511.0,238.0,1753.0,713.0,14.0,90.0,10.0,169.0,2756.0,829.0,240.0,1687.0,1186.0,1565.0,4.0,1.0,2551.0,205.0,1654.0,795.0,19.0,74.0,13.0,201.0,3064.0,1013.0,285.0,1766.0,1403.0,1659.0,2.0,2766.0,298.0,1869.0,898.0,18.0,73.0,5.0,201.0,3081.0,1030.0,318.0,1733.0,1409.0,1668.0,4.0,2833.0,248.0,1972.0,803.0,16.0,68.0,17.0,205.0
ID,2012.0,438.0,157.0,1417.0,813.0,1197.0,2.0,0.0,1702.0,310.0,1675.0,57.0,7.0,103.0,22.0,148.0,2037.0,443.0,153.0,1441.0,809.0,1221.0,6.0,1.0,1769.0,268.0,1795.0,75.0,17.0,60.0,15.0,75.0,2247.0,578.0,195.0,1474.0,966.0,1278.0,3.0,1976.0,271.0,1928.0,76.0,9.0,133.0,23.0,78.0,1966.0,484.0,160.0,1322.0,840.0,1123.0,3.0,1729.0,237.0,1733.0,69.0,11.0,109.0,16.0,28.0
IL,10643.0,2505.0,958.0,7180.0,4376.0,6226.0,27.0,14.0,9468.0,1175.0,3854.0,6234.0,80.0,78.0,32.0,365.0,10798.0,2455.0,1106.0,7237.0,4391.0,6372.0,31.0,4.0,9739.0,1059.0,3916.0,6375.0,78.0,68.0,20.0,341.0,11590.0,2892.0,1130.0,7568.0,4746.0,6813.0,31.0,10341.0,1249.0,4214.0,6858.0,123.0,54.0,18.0,323.0,13177.0,3187.0,1349.0,8641.0,5291.0,7866.0,20.0,11378.0,1799.0,4690.0,7798.0,100.0,53.0,20.0,516.0
IN,5258.0,981.0,332.0,3945.0,2138.0,3103.0,15.0,2.0,5026.0,232.0,3212.0,1839.0,30.0,34.0,16.0,127.0,5438.0,1177.0,355.0,3906.0,2204.0,3226.0,8.0,0.0,5205.0,233.0,3283.0,1877.0,30.0,44.0,20.0,184.0,5798.0,1319.0,448.0,4031.0,2414.0,3375.0,9.0,5577.0,221.0,3587.0,1911.0,24.0,41.0,17.0,218.0,5863.0,1261.0,492.0,4110.0,2359.0,3497.0,7.0,5647.0,216.0,3496.0,2085.0,17.0,44.0,16.0,205.0
KS,2067.0,471.0,157.0,1439.0,795.0,1262.0,2.0,8.0,1823.0,244.0,1340.0,438.0,12.0,86.0,17.0,174.0,2098.0,521.0,118.0,1459.0,862.0,1234.0,1.0,1.0,1783.0,315.0,1436.0,405.0,10.0,98.0,11.0,138.0,2008.0,570.0,95.0,1343.0,900.0,1107.0,1.0,1796.0,212.0,1423.0,360.0,13.0,63.0,2.0,147.0,2348.0,637.0,157.0,1554.0,1034.0,1311.0,3.0,2095.0,253.0,1573.0,505.0,12.0,103.0,8.0,147.0
KY,3688.0,616.0,248.0,2824.0,1402.0,2274.0,9.0,3.0,3546.0,142.0,2616.0,835.0,12.0,20.0,4.0,201.0,4025.0,616.0,331.0,3078.0,1509.0,2507.0,9.0,0.0,3917.0,108.0,2829.0,1009.0,18.0,18.0,2.0,149.0,4237.0,787.0,330.0,3120.0,1575.0,2656.0,6.0,4068.0,169.0,2895.0,1103.0,3.0,30.0,18.0,188.0,4538.0,861.0,352.0,3325.0,1706.0,2823.0,9.0,4403.0,135.0,3088.0,1193.0,7.0,38.0,15.0,197.0
LA,3059.0,371.0,219.0,2469.0,901.0,2142.0,12.0,4.0,2973.0,86.0,1233.0,1726.0,13.0,24.0,8.0,55.0,3305.0,527.0,238.0,2540.0,1054.0,2233.0,14.0,4.0,3203.0,102.0,1267.0,1921.0,12.0,28.0,11.0,66.0,3994.0,608.0,405.0,2981.0,1337.0,2648.0,9.0,3813.0,181.0,1482.0,2319.0,12.0,30.0,10.0,141.0,4081.0,581.0,443.0,3057.0,1373.0,2694.0,14.0,3982.0,99.0,1536.0,2395.0,21.0,50.0,14.0,65.0
MA,20068.0,7660.0,1674.0,10734.0,10001.0,10014.0,40.0,13.0,11936.0,8132.0,11813.0,6265.0,158.0,84.0,64.0,1684.0,17565.0,6465.0,1510.0,9590.0,8558.0,8975.0,26.0,6.0,11034.0,6531.0,10006.0,5830.0,173.0,82.0,80.0,1394.0,19608.0,7764.0,1492.0,10352.0,9446.0,10145.0,17.0,12660.0,6948.0,11029.0,6154.0,129.0,80.0,83.0,2133.0,21135.0,8583.0,2047.0,10505.0,10602.0,10528.0,5.0,13720.0,7415.0,11922.0,7175.0,206.0,100.0,144.0,1588.0
MD,7144.0,1399.0,397.0,5348.0,2643.0,4476.0,23.0,2.0,6756.0,388.0,2602.0,4166.0,41.0,51.0,24.0,260.0,7247.0,1370.0,422.0,5455.0,2727.0,4505.0,12.0,3.0,6842.0,405.0,2479.0,4341.0,40.0,54.0,22.0,311.0,7689.0,1705.0,463.0,5521.0,2922.0,4760.0,7.0,6970.0,719.0,2688.0,4620.0,34.0,55.0,19.0,273.0,8390.0,1908.0,664.0,5818.0,3245.0,5139.0,6.0,7887.0,503.0,3016.0,4920.0,58.0,53.0,36.0,307.0
ME,2516.0,654.0,184.0,1678.0,1174.0,1329.0,9.0,4.0,2406.0,110.0,2041.0,293.0,8.0,35.0,0.0,139.0,2280.0,590.0,191.0,1499.0,1038.0,1226.0,12.0,4.0,2192.0,88.0,1853.0,284.0,11.0,38.0,10.0,84.0,2241.0,580.0,201.0,1460.0,1007.0,1231.0,3.0,2171.0,70.0,1872.0,237.0,9.0,42.0,5.0,76.0,2372.0,637.0,245.0,1490.0,1145.0,1218.0,9.0,2297.0,75.0,2036.0,213.0,6.0,25.0,8.0,84.0
MI,8351.0,2173.0,749.0,5429.0,3498.0,4841.0,10.0,2.0,7877.0,474.0,3775.0,3980.0,27.0,102.0,14.0,453.0,9051.0,2340.0,782.0,5929.0,3723.0,5314.0,13.0,1.0,8554.0,497.0,3826.0,4693.0,22.0,112.0,5.0,393.0,9316.0,2381.0,956.0,5979.0,3854.0,5446.0,16.0,8792.0,524.0,4112.0,4637.0,31.0,89.0,33.0,414.0,10516.0,2686.0,1224.0,6606.0,4309.0,6203.0,4.0,9986.0,530.0,4612.0,5343.0,29.0,79.0,22.0,431.0
