State,2018 Overall Homeless,2018 Under 18,2018 Age 18 to 24,2018 Over 24,2018 Female,2018 Male,2018 Transgender,2018 NonConforming,2018 NonHispanic_NonLatino,2018 Hispanic_Latino,2018 White,2018 Black or African American,2018 Asian,2018 American Indian or Alaska Native,2018 Native Hawaiian or Other Pacific Islander,2018 Multiple Races,2017 Overall Homeless,2017 Under 18,2017 Age 18 to 24,2017 Over 24,2017 Female,2017 Male,2017 Transgender,2017 NonConforming,2017 NonHispanic_NonLatino,2017 Hispanic_Latino,2017 White,2017 Black or African American,2017 Asian,2017 American Indian or Alaska Native,2017 Native Hawaiian or Other Pacific Islander,2017 Multiple Races,2016 Overall Homeless,"Overall Homeless - Under 18, 2016",2016 Age 18 to 24,2016 Over 24,2016 Female,2016 Male,2016 Transgender,2016 NonHispanic_NonLatino,2016 Hispanic_Latino,2016 White,2016 Black or African American,2016 Asian,2016 American Indian or Alaska Native,2016 Native Hawaiian or Other Pacific Islander,2016 Multiple Races,2015 Overall Homeless,2015 Under 18,2015 Age 18 to 24,2015 Over 24,2015 Female,2015 Male,2015 Transgender,2015 NonHispanic_NonLatino,2015 Hispanic_Latino,2015 White,2015 Black or African American,2015 Asian,2015 American Indian or Alaska Native,2015 Native Hawaiian or Other Pacific Islander,2015 Multiple Races
MN,7243.0,2254.0,890.0,4099.0,3278.0,3941.0,15.0,9.0,6695.0,548.0,2698.0,3141.0,114.0,699.0,49.0,542.0,7668.0,2590.0,1103.0,3975.0,3617.0,4029.0,17.0,5.0,7104.0,564.0,2685.0,3296.0,110.0,1018.0,16.0,543.0,7341.0,2563.0,934.0,3844.0,3481.0,3841.0,19.0,6663.0,678.0,2780.0,3306.0,82.0,709.0,72.0,392.0,7546.0,2607.0,993.0,3946.0,3693.0,3826.0,27.0,6937.0,609.0,2641.0,3466.0,117.0,663.0,29.0,630.0
MO,6032.0,1438.0,611.0,3983.0,2645.0,3371.0,14.0,2.0,5758.0,274.0,3196.0,2415.0,15.0,87.0,14.0,305.0,6226.0,1569.0,663.0,3994.0,2861.0,3338.0,18.0,9.0,5916.0,310.0,3141.0,2645.0,23.0,80.0,11.0,326.0,6441.0,1745.0,634.0,4062.0,2956.0,3479.0,6.0,6155.0,286.0,3539.0,2465.0,28.0,110.0,18.0,281.0,6722.0,1971.0,696.0,4055.0,3149.0,3572.0,1.0,6454.0,268.0,3641.0,2699.0,21.0,46.0,26.0,289.0
MS,1352.0,206.0,109.0,1037.0,502.0,829.0,20.0,1.0,1309.0,43.0,610.0,663.0,12.0,9.0,5.0,53.0,1472.0,252.0,60.0,1160.0,573.0,891.0,1.0,7.0,1461.0,11.0,611.0,811.0,4.0,29.0,0.0,17.0,1738.0,266.0,114.0,1358.0,712.0,1014.0,12.0,1718.0,20.0,647.0,1054.0,7.0,22.0,3.0,5.0,1983.0,340.0,105.0,1538.0,761.0,1222.0,0.0,1962.0,21.0,577.0,1372.0,2.0,10.0,14.0,8.0
MT,1405.0,247.0,151.0,1007.0,559.0,837.0,4.0,5.0,1305.0,100.0,956.0,38.0,2.0,238.0,8.0,163.0,1529.0,340.0,124.0,1065.0,624.0,898.0,4.0,3.0,1408.0,121.0,992.0,33.0,4.0,354.0,9.0,137.0,1418.0,350.0,123.0,945.0,599.0,818.0,1.0,1306.0,112.0,877.0,25.0,1.0,366.0,6.0,143.0,1709.0,374.0,225.0,1110.0,711.0,996.0,2.0,1579.0,130.0,1281.0,38.0,0.0,321.0,5.0,64.0
NC,9268.0,1762.0,647.0,6859.0,3516.0,5728.0,19.0,5.0,8791.0,477.0,3971.0,4801.0,41.0,122.0,31.0,302.0,8962.0,1883.0,571.0,6508.0,3567.0,5380.0,9.0,6.0,8444.0,518.0,3745.0,4553.0,37.0,190.0,17.0,420.0,9559.0,1994.0,650.0,6915.0,3774.0,5773.0,12.0,9127.0,432.0,3974.0,5072.0,31.0,145.0,15.0,322.0,10685.0,2295.0,841.0,7549.0,4185.0,6487.0,13.0,10147.0,538.0,4494.0,5711.0,57.0,173.0,17.0,233.0
ND,542.0,61.0,61.0,420.0,218.0,323.0,1.0,0.0,445.0,97.0,344.0,76.0,2.0,74.0,12.0,34.0,1089.0,178.0,84.0,827.0,272.0,811.0,2.0,4.0,1046.0,43.0,367.0,127.0,6.0,226.0,0.0,363.0,923.0,154.0,86.0,683.0,331.0,590.0,2.0,844.0,79.0,510.0,129.0,5.0,218.0,1.0,60.0,1305.0,265.0,152.0,888.0,456.0,843.0,6.0,1215.0,90.0,774.0,232.0,16.0,184.0,5.0,94.0
NE,2421.0,419.0,196.0,1806.0,936.0,1484.0,1.0,0.0,2111.0,310.0,1585.0,599.0,20.0,85.0,6.0,126.0,2501.0,501.0,225.0,1775.0,918.0,1580.0,3.0,0.0,2237.0,264.0,1664.0,579.0,20.0,122.0,4.0,112.0,2754.0,590.0,258.0,1906.0,980.0,1771.0,3.0,2392.0,362.0,1858.0,570.0,11.0,67.0,6.0,242.0,2744.0,635.0,292.0,1817.0,1012.0,1722.0,10.0,2347.0,397.0,1831.0,586.0,25.0,119.0,16.0,167.0
NH,1450.0,362.0,125.0,963.0,624.0,823.0,1.0,2.0,1342.0,108.0,1232.0,91.0,18.0,5.0,2.0,102.0,1456.0,389.0,126.0,941.0,646.0,805.0,3.0,2.0,1320.0,136.0,1266.0,77.0,11.0,5.0,0.0,97.0,1366.0,321.0,139.0,906.0,601.0,762.0,3.0,1247.0,119.0,1183.0,94.0,2.0,3.0,2.0,82.0,1445.0,382.0,142.0,921.0,616.0,826.0,3.0,1325.0,120.0,1312.0,64.0,6.0,2.0,1.0,60.0
NJ,9398.0,2093.0,808.0,6497.0,3904.0,5466.0,24.0,4.0,7457.0,1941.0,3936.0,5021.0,86.0,71.0,59.0,225.0,8536.0,1945.0,761.0,5830.0,3442.0,5074.0,17.0,3.0,6750.0,1786.0,3526.0,4621.0,75.0,96.0,38.0,180.0,8895.0,2086.0,850.0,5959.0,3738.0,5148.0,9.0,7099.0,1796.0,3835.0,4682.0,56.0,79.0,53.0,190.0,10098.0,2404.0,1074.0,6620.0,4156.0,5930.0,12.0,8279.0,1819.0,4336.0,5562.0,97.0,23.0,34.0,46.0
NM,2551.0,437.0,146.0,1968.0,895.0,1618.0,19.0,19.0,1464.0,1087.0,1495.0,200.0,14.0,690.0,13.0,139.0,2482.0,471.0,130.0,1881.0,897.0,1545.0,19.0,21.0,1446.0,1036.0,1513.0,142.0,10.0,651.0,9.0,157.0,2263.0,529.0,210.0,1524.0,848.0,1404.0,11.0,1386.0,877.0,1273.0,181.0,18.0,576.0,16.0,199.0,2629.0,701.0,205.0,1723.0,1086.0,1537.0,6.0,1517.0,1112.0,1728.0,213.0,12.0,587.0,17.0,72.0
NV,7544.0,519.0,1235.0,5790.0,2257.0,5246.0,36.0,5.0,6684.0,860.0,4498.0,2284.0,160.0,182.0,108.0,312.0,7833.0,608.0,1936.0,5289.0,2273.0,5536.0,23.0,1.0,6770.0,1063.0,4610.0,2326.0,182.0,225.0,75.0,415.0,7398.0,639.0,1424.0,5335.0,1851.0,5541.0,6.0,6448.0,950.0,4329.0,2196.0,189.0,167.0,132.0,385.0,8743.0,1395.0,1573.0,5775.0,2837.0,5901.0,5.0,7329.0,1414.0,4605.0,3213.0,235.0,187.0,73.0,430.0
NY,91897.0,30009.0,8761.0,53127.0,43694.0,47850.0,341.0,12.0,60858.0,31039.0,21811.0,64622.0,1040.0,461.0,885.0,3078.0,89503.0,30098.0,9111.0,50294.0,42528.0,46643.0,321.0,11.0,60095.0,29408.0,19894.0,61463.0,1056.0,729.0,1191.0,5170.0,86352.0,30122.0,8816.0,47414.0,41147.0,44980.0,225.0,47224.0,39128.0,19365.0,55779.0,945.0,659.0,1208.0,8396.0,88250.0,31005.0,8944.0,48301.0,41697.0,46412.0,141.0,60227.0,28023.0,21705.0,60103.0,879.0,822.0,1368.0,3373.0
OH,10249.0,2141.0,899.0,7209.0,4129.0,6090.0,22.0,8.0,9742.0,507.0,5092.0,4601.0,37.0,69.0,20.0,430.0,10095.0,2234.0,858.0,7003.0,3998.0,6067.0,23.0,7.0,9720.0,375.0,4933.0,4562.0,26.0,49.0,23.0,502.0,10404.0,2229.0,944.0,7231.0,4046.0,6337.0,21.0,10071.0,333.0,5176.0,4632.0,38.0,50.0,9.0,499.0,11182.0,2241.0,1082.0,7859.0,4349.0,6817.0,16.0,10799.0,383.0,5532.0,5084.0,35.0,59.0,18.0,454.0
OK,3871.0,637.0,327.0,2907.0,1399.0,2467.0,2.0,3.0,3606.0,265.0,2414.0,735.0,16.0,450.0,18.0,238.0,4199.0,867.0,378.0,2954.0,1702.0,2485.0,10.0,2.0,3892.0,307.0,2594.0,767.0,8.0,577.0,17.0,236.0,4107.0,764.0,427.0,2916.0,1615.0,2490.0,2.0,3893.0,214.0,2504.0,880.0,25.0,539.0,7.0,152.0,3777.0,691.0,467.0,2619.0,1535.0,2237.0,5.0,3528.0,249.0,2458.0,732.0,7.0,411.0,11.0,158.0
OR,14476.0,2185.0,1165.0,11126.0,5659.0,8690.0,79.0,48.0,13008.0,1468.0,11799.0,793.0,78.0,688.0,188.0,930.0,13953.0,2636.0,1160.0,10157.0,5493.0,8368.0,67.0,25.0,12444.0,1509.0,11326.0,832.0,79.0,588.0,175.0,953.0,13238.0,2566.0,1188.0,9484.0,5286.0,7893.0,59.0,11820.0,1418.0,10733.0,839.0,85.0,559.0,146.0,876.0,13226.0,2545.0,1228.0,9453.0,5197.0,7977.0,52.0,11681.0,1545.0,10704.0,847.0,133.0,599.0,164.0,779.0
PA,13512.0,3472.0,1055.0,8985.0,5594.0,7870.0,36.0,12.0,11858.0,1654.0,5781.0,7016.0,87.0,73.0,48.0,507.0,14138.0,3755.0,1260.0,9123.0,5999.0,8063.0,66.0,10.0,12696.0,1442.0,5864.0,7450.0,77.0,47.0,39.0,661.0,15339.0,4342.0,1488.0,9509.0,6593.0,8708.0,38.0,13662.0,1677.0,6647.0,7899.0,63.0,61.0,27.0,642.0,15421.0,4312.0,1592.0,9517.0,6844.0,8553.0,24.0,13301.0,2120.0,6486.0,8202.0,77.0,77.0,32.0,547.0
PR,3182.0,143.0,150.0,2889.0,679.0,2494.0,6.0,3.0,66.0,3116.0,1454.0,601.0,2.0,10.0,9.0,1106.0,3525.0,218.0,199.0,3108.0,841.0,2676.0,5.0,3.0,77.0,3448.0,1612.0,633.0,2.0,17.0,11.0,1250.0,4418.0,377.0,228.0,3813.0,1227.0,3178.0,13.0,118.0,4300.0,1909.0,738.0,4.0,51.0,14.0,1702.0,4518.0,363.0,248.0,3907.0,1237.0,3266.0,15.0,151.0,4367.0,1894.0,717.0,1.0,50.0,17.0,1839.0
RI,1101.0,206.0,73.0,822.0,420.0,677.0,4.0,0.0,833.0,268.0,662.0,289.0,14.0,19.0,1.0,116.0,1180.0,236.0,78.0,866.0,430.0,743.0,7.0,0.0,917.0,263.0,762.0,309.0,8.0,16.0,3.0,82.0,1160.0,195.0,89.0,876.0,421.0,738.0,1.0,924.0,236.0,767.0,291.0,15.0,17.0,3.0,67.0,1111.0,252.0,89.0,770.0,418.0,691.0,2.0,831.0,280.0,765.0,287.0,4.0,7.0,2.0,46.0
SC,3933.0,510.0,281.0,3142.0,1432.0,2494.0,4.0,3.0,3792.0,141.0,1736.0,2016.0,11.0,33.0,7.0,130.0,3916.0,642.0,227.0,3047.0,1451.0,2453.0,10.0,2.0,3828.0,88.0,1532.0,2205.0,8.0,32.0,4.0,135.0,5051.0,820.0,325.0,3906.0,1791.0,3257.0,3.0,4924.0,127.0,2159.0,2626.0,21.0,28.0,17.0,200.0,5354.0,782.0,301.0,4271.0,1970.0,3384.0,0.0,5216.0,138.0,2253.0,2926.0,11.0,43.0,19.0,102.0
SD,1159.0,218.0,77.0,864.0,424.0,735.0,0.0,0.0,1074.0,85.0,327.0,79.0,2.0,658.0,0.0,93.0,943.0,215.0,62.0,666.0,412.0,529.0,2.0,0.0,901.0,42.0,310.0,44.0,3.0,563.0,8.0,15.0,1072.0,329.0,128.0,615.0,456.0,616.0,0.0,1026.0,46.0,322.0,72.0,2.0,624.0,5.0,47.0,1036.0,266.0,139.0,631.0,373.0,662.0,1.0,1020.0,16.0,403.0,87.0,3.0,524.0,3.0,16.0
TN,7883.0,1108.0,533.0,6242.0,2822.0,5041.0,13.0,7.0,7624.0,259.0,4601.0,3007.0,19.0,58.0,12.0,186.0,8309.0,1364.0,543.0,6402.0,3256.0,5043.0,7.0,3.0,8092.0,217.0,4775.0,3205.0,34.0,61.0,6.0,228.0,8779.0,1298.0,543.0,6938.0,3060.0,5700.0,19.0,8541.0,238.0,5140.0,3363.0,23.0,47.0,15.0,191.0,9123.0,1625.0,836.0,6662.0,3636.0,5467.0,20.0,8931.0,192.0,5370.0,3488.0,22.0,66.0,24.0,153.0
TX,25310.0,4101.0,1671.0,19538.0,9468.0,15761.0,48.0,33.0,18163.0,7147.0,14363.0,9664.0,181.0,315.0,60.0,727.0,23548.0,4286.0,1750.0,17512.0,8861.0,14546.0,47.0,94.0,16942.0,6606.0,13076.0,8928.0,253.0,325.0,68.0,898.0,23122.0,4615.0,1596.0,16911.0,9334.0,13739.0,49.0,17180.0,5942.0,12795.0,8143.0,233.0,843.0,79.0,1029.0,23678.0,4529.0,1712.0,17437.0,9038.0,14575.0,65.0,16750.0,6928.0,13713.0,8603.0,145.0,424.0,104.0,689.0
UT,2876.0,621.0,243.0,2012.0,1145.0,1711.0,16.0,4.0,2260.0,616.0,2209.0,277.0,28.0,143.0,72.0,147.0,2852.0,637.0,203.0,2012.0,1083.0,1762.0,7.0,0.0,2210.0,642.0,2202.0,282.0,27.0,159.0,47.0,135.0,2807.0,638.0,179.0,1990.0,1043.0,1757.0,7.0,2223.0,584.0,2239.0,242.0,29.0,147.0,32.0,118.0,3025.0,764.0,199.0,2062.0,1176.0,1842.0,7.0,2365.0,660.0,2359.0,311.0,35.0,128.0,74.0,118.0
VA,5975.0,1284.0,416.0,4275.0,2339.0,3626.0,6.0,4.0,5482.0,493.0,2399.0,3113.0,79.0,47.0,17.0,320.0,6067.0,1299.0,415.0,4353.0,2315.0,3738.0,9.0,5.0,5516.0,551.0,2417.0,3241.0,84.0,32.0,22.0,271.0,6268.0,1432.0,478.0,4358.0,2561.0,3700.0,7.0,5707.0,561.0,2545.0,3337.0,84.0,37.0,11.0,254.0,7001.0,1769.0,576.0,4656.0,2803.0,4191.0,7.0,6517.0,484.0,2703.0,3761.0,110.0,62.0,17.0,348.0
VT,1291.0,292.0,144.0,855.0,555.0,728.0,4.0,4.0,1234.0,57.0,1150.0,84.0,8.0,11.0,0.0,38.0,1225.0,306.0,142.0,777.0,561.0,657.0,5.0,2.0,1165.0,60.0,1093.0,79.0,7.0,6.0,2.0,38.0,1117.0,263.0,125.0,729.0,474.0,640.0,3.0,1040.0,77.0,968.0,88.0,6.0,12.0,0.0,43.0,1523.0,356.0,180.0,987.0,668.0,853.0,2.0,1476.0,47.0,1363.0,134.0,3.0,5.0,3.0,15.0
WA,22304.0,3777.0,2327.0,16200.0,8475.0,13346.0,115.0,368.0,19068.0,3236.0,13688.0,4155.0,404.0,917.0,533.0,2607.0,21112.0,4109.0,2296.0,14707.0,8220.0,12631.0,154.0,107.0,18260.0,2852.0,12340.0,4167.0,321.0,1285.0,484.0,2515.0,20827.0,4038.0,1767.0,15022.0,7992.0,12781.0,54.0,17864.0,2963.0,12298.0,4069.0,470.0,1123.0,485.0,2382.0,19419.0,4162.0,1881.0,13376.0,7457.0,11896.0,66.0,16681.0,2738.0,11860.0,4095.0,369.0,871.0,491.0,1733.0
WI,4907.0,1407.0,356.0,3144.0,2178.0,2719.0,8.0,2.0,4550.0,357.0,2728.0,1570.0,37.0,236.0,7.0,329.0,5027.0,1546.0,431.0,3050.0,2267.0,2746.0,12.0,2.0,4635.0,392.0,2753.0,1643.0,69.0,195.0,13.0,354.0,5685.0,1809.0,558.0,3318.0,2592.0,3083.0,10.0,5211.0,474.0,3030.0,2041.0,45.0,204.0,13.0,352.0,6057.0,1987.0,550.0,3520.0,2748.0,3304.0,5.0,5544.0,513.0,3276.0,2153.0,55.0,224.0,44.0,305.0
WV,1243.0,145.0,56.0,1042.0,439.0,802.0,2.0,0.0,1227.0,16.0,978.0,230.0,2.0,4.0,1.0,28.0,1309.0,166.0,87.0,1056.0,462.0,846.0,1.0,0.0,1288.0,21.0,1062.0,214.0,2.0,5.0,3.0,23.0,1387.0,220.0,110.0,1057.0,481.0,906.0,0.0,1369.0,18.0,1112.0,216.0,1.0,6.0,1.0,51.0,1835.0,268.0,171.0,1396.0,626.0,1208.0,1.0,1796.0,39.0,1495.0,289.0,1.0,9.0,3.0,38.0
WY,639.0,124.0,81.0,434.0,254.0,384.0,1.0,0.0,560.0,79.0,500.0,42.0,0.0,51.0,8.0,38.0,873.0,129.0,59.0,685.0,300.0,570.0,3.0,0.0,767.0,106.0,651.0,43.0,2.0,145.0,8.0,24.0,857.0,195.0,61.0,601.0,338.0,518.0,1.0,736.0,121.0,660.0,39.0,2.0,128.0,0.0,28.0,798.0,187.0,59.0,552.0,295.0,503.0,0.0,669.0,129.0,628.0,30.0,0.0,97.0,1.0,42.0
